tic,name,ra,dec,tmag,ctl,sector 
284062977,BD+26 2345 A,186.1116369,25.58235673,6.124,1, 
211517703,J1428-4759,217.21633,-47.992096,6.51,0, 
372121208,HD 15407,37.711666,55.548007,6.512,0, 
253085110,J1256-5435,194.2427,-54.587292,6.517,0, 
435938633,HD 27848,66.09324049,17.07884356,6.503,1, 
243393076,J1340-4419,205.15695,-44.330204,6.498,1, 
456891444,HD 28394,67.33610346,17.54481611,6.507,1, 
118301925,HD 14082 A,34.3557751,28.74473135,6.522,1, 
393801527,HD 108486,186.9097917,25.91206805,6.502,1, 
333194329,J1204-5128,181.06963,-51.472527,6.546,0, 
388499647,HD 70703,125.25176,-52.227887,6.52,1, 
241483053,J1344-5100,206.06666,-51.012459,6.556,0, 
95822197,J1643-3206,250.91135,-32.105907,6.551,1, 
436650260,HD 30676,72.60013104,17.20251837,6.53,1, 
121240521,J1459-3752,224.80807,-37.881233,6.542,1, 
454961439,EE Cha,179.6460153,-77.82544824,6.538,1, 
167596713,J1425-3726,216.25426,-37.447037,6.556,1, 
373052731,HD 28608,67.73865151,10.75172214,6.571,1, 
337438474,HD 164249 A,270.764223,-51.6493683,6.579,1, 
49696160,J1616-2118,244.24486,-21.304096,6.59,1, 
360689837,HIP 95270,290.7457741,-54.53839135,6.608,1, 
403840715,J1233-5204,188.3008,-52.082848,6.56,0, 
148480904,J1521-3813,230.37542,-38.218685,6.607,1, 
283751025,HD 26784,63.64359431,10.70136375,6.599,1, 
18372016,HD 28483,67.57530039,19.84042235,6.59,1, 
340459410,HD 62850,115.6498186,-59.29676703,6.606,0, 
398476730,J1159-5710,179.84886,-57.167992,6.615,1, 
17339628,HD 27808,66.06125039,21.73605507,6.621,1, 
16041659,HD 26737,63.62716232,22.45173296,6.623,1, 
357208862,HIP 59243,182.2811271,-78.78134457,6.615,1, 
138854185,32 Ori A,82.69608703,5.947978907,5.402,1, 
231005004,HD 10269,24.782455,-56.429507,6.693,1,2 
68047964,J1610-2434,242.54115,-24.582439,6.626,1, 
359997243,J1224-7236,186.21635,-72.603851,6.63,0, 
61941944,J1151-4355,177.80477,-43.933052,6.626,1, 
346626019,HD 23873,57.34071123,24.38076499,6.642,1, 
280773136,J1133-7011,173.35596,-70.194794,6.585,1, 
173560502,J1538-3909,234.63597,-39.16069,6.671,1, 
439979970,J1305-6426,196.25853,-64.441566,6.657,0, 
71960105,HD 147512,245.63601,-4.2499839,6.662,0, 
406498177,HIP 21965,70.82189959,-23.62839762,6.684,1, 
374813230,J1608-3905,242.14401,-39.092842,6.689,0, 
450077414,HD 30311,71.69039471,9.017424878,6.674,1, 
405576310,J1247-5817,191.91337,-58.297539,6.698,1, 
156427870,J0548+0733,87.128417,7.551337,6.708,1, 
280474618,J1635-3543,248.80768,-35.724644,6.723,0, 
159428519,J1440-4050,220.07352,-40.841663,6.709,0, 
206189744,HIP 103311 AB,313.9488857,-17.11442873,6.718,1, 
280156638,J1557-2331,239.45336,-23.527309,6.74,1, 
363846319,J1321-4338,200.35793,-43.6343,6.707,1, 
58545061,HD 27731,65.87642,24.405512,6.709,1, 
148495018,J1522-3738,230.54693,-37.635616,6.729,0, 
145923579,HD 76230,133.1699462,-52.12884806,6.565,1, 
113956708,J0338+2239,54.669716,22.659493,6.682,1, 
129948345,J1450-4249,222.74464,-42.82251,6.706,1, 
20586894,J1704-2541,256.00339,-25.69796,6.747,0, 
301636441,HIP 99273,302.2719192,-26.22431431,6.739,1, 
238196350,HD 24636,57.04880006,-74.69401445,6.744,1,1-2 
238815210,HIP 107947,328.0409121,-62.05274297,6.772,1,1 
