tic,name,ra,dec,tmag,ctl,sector 
167699908,AS Col,80.15874419,-39.75488899,6.883,1, 
408042385,J0509+0710,77.44152841,7.181652401,6.894,1, 
29900813,V* EX Cet,24.398499,-6.7608338,6.896,0, 
17232188,HD 27406,65.05453363,19.23333105,6.908,1, 
245902283,HD 29310,69.38371083,15.14638436,6.933,1, 
176832633,HD 20484,49.136533,-35.691197,6.941,0, 
425934574,HIP 1481,4.609688564,-63.47774136,6.944,1,2-Jan
373027194,HD 28237,66.94244576,11.73636725,6.946,1, 
438702139,J1324-5130,201.15041,-51.504429,6.947,1, 
435939639,V895 Tau,66.05243607,14.75816067,6.951,1, 
49906916,HIP 15247,49.16979307,-3.530461753,6.956,1, 
48437482,J1454-3408,223.6054,-34.142834,6.964,1, 
20072435,HIP 28036,88.92995209,-38.10447467,6.967,1, 
139898417,HD 207043,326.98108,-52.931008,6.969,0,1
120462356,HIP 490,1.469483349,-41.75338679,6.976,1,2
211086449,J1625-3204,246.40234,-32.076717,6.988,1, 
452591868,HIP 46720 B,142.8545863,-73.7472662,6.991,1, 
452591868,HIP 46720 A,142.8531671,-73.74690076,6.991,1, 
231064749,HIP 9902,31.85961937,-59.67950487,7.003,1,2
397231463,HIP 32435,101.5571395,-83.99127197,7.009,1, 
290716988,UY Pic,84.23703075,-47.96469467,7.019,1, 
142098919,HD 103742,179.1754476,-32.26819098,7.041,0, 
206384979,HIP 16853 A,54.22311398,-49.95801183,7.041,1, 
436651598,HD 30712,72.64128676,15.08334954,7.058,1, 
278036258,V343 Nor A,234.7393933,-57.70798203,7.07,1, 
160009706,HD 21341,51.303585,-37.15271,7.076,1, 
387609654,BZ Cet,45.01309579,7.749843463,7.082,0, 
379470817,HD 175224B,284.37732,-55.993063,7.099,0, 
175744877,HD 148352,247.10485,-24.750252,7.124,1, 
373420313,J0505+0607,76.27745035,6.130164033,7.144,1, 
17070887,HD 26874,63.92730877,20.81965118,7.148,1, 
396860027,HD 26257,62.2880594,0.179045413,7.151,1, 
436643589,HD 30589,72.38422977,15.88863679,7.165,1, 
445925813,HD 20439,49.38729357,7.690128095,7.173,0, 
142098917,HD 103743,179.1815283,-32.26744227,7.178,0, 
435926536,HD 27685,65.68709848,16.79081389,7.182,0, 
173532792,HD 59704,112.3807509,-38.12237934,7.211,1, 
59087638,HD 27859,66.11851838,16.88606114,7.214,1, 
245826993,HD 28635,67.87266071,13.90340256,7.232,1, 
150143137,HD 43199,92.72051,-61.499663,7.239,1,2-Jan
323246150,HD 75505,130.4355982,-79.04801428,7.251,1, 
245792139,HD 28344,67.20171765,17.28534991,7.257,1, 
311151814,HD 25825,61.56771377,15.69803842,7.278,1, 
270259954,HD 224228,359.0455783,-39.05311024,7.28704,0,2
245863570,HD 28992,68.64756189,15.50451139,7.317,1, 
250593544,HIP 30030,94.78361751,-3.439164684,7.323,1, 
464781371,HD 25953,61.67320757,1.683516276,7.344,1, 
