   TIC_ID ,                 RA ,                 Dec ,    Tmag ,                  Other-Name
238815210,328.0409121,-62.05274297,6.772,                HIP 107947
436656073,72.70262587,16.21034161,6.79,                  HD 30738
235037790,353.80449,-64.689059,6.797,                 HD 221740
445925825,49.3606423,7.655784772,6.828,                  HD 20430
464415840,282.02661,-62.230058,6.836,                 HD 173167
17418956,66.57753999,21.47027277,6.837,                  HD 28033
408012676,3.543160425,-7.199397933,6.845,                    HD 984
32500778,84.41522709,-28.62630613,6.86,                  HD 37484
270377865,345.0808693,-26.15442266,6.862,                 HD 217343
17410529,66.46598988,18.86389277,6.863,                  HD 27989
17150156,64.50815247,18.25667439,6.873,                 V1232 Tau
369614946,10.215716,-53.21012,6.874,                   HD 3888
245786953,66.90000161,15.58909229,6.877,                  V993 Tau
167699908,80.15874419,-39.75488899,6.883,                    AS Col
408042385,77.44152841,7.181652401,6.894,                J0509+0710
29900813,24.398499,-6.7608338,6.896,                 V* EX Cet
17232188,65.05453363,19.23333105,6.908,                  HD 27406
245902283,69.38371083,15.14638436,6.933,                  HD 29310
176832633,49.136533,-35.691197,6.941,                  HD 20484
425934574,4.609688564,-63.47774136,6.944,                  HIP 1481
373027194,66.94244576,11.73636725,6.946,                  HD 28237
438702139,201.15041,-51.504429,6.947,                J1324-5130
435939639,66.05243607,14.75816067,6.951,                  V895 Tau
49906916,49.16979307,-3.530461753,6.956,                 HIP 15247
48437482,223.6054,-34.142834,6.964,                J1454-3408
20072435,88.92995209,-38.10447467,6.967,                 HIP 28036
139898417,326.98108,-52.931008,6.969,                 HD 207043
120462356,1.469483349,-41.75338679,6.976,                   HIP 490
211086449,246.40234,-32.076717,6.988,                J1625-3204
452591868,142.8545863,-73.7472662,6.991,               HIP 46720 B
452591868,142.8531671,-73.74690076,6.991,               HIP 46720 A
231064749,31.85961937,-59.67950487,7.003,                  HIP 9902
397231463,101.5571395,-83.99127197,7.009,                 HIP 32435
290716988,84.23703075,-47.96469467,7.019,                    UY Pic
142098919,179.1754476,-32.26819098,7.041,                 HD 103742
206384979,54.22311398,-49.95801183,7.041,               HIP 16853 A
436651598,72.64128676,15.08334954,7.058,                  HD 30712
278036258,234.7393933,-57.70798203,7.07,                V343 Nor A
160009706,51.303585,-37.15271,7.076,                  HD 21341
387609654,45.01309579,7.749843463,7.082,                    BZ Cet
379470817,284.37732,-55.993063,7.099,                HD 175224B
175744877,247.10485,-24.750252,7.124,                 HD 148352
373420313,76.27745035,6.130164033,7.144,                J0505+0607
17070887,63.92730877,20.81965118,7.148,                  HD 26874
396860027,62.2880594,0.179045413,7.151,                  HD 26257
436643589,72.38422977,15.88863679,7.165,                  HD 30589
445925813,49.38729357,7.690128095,7.173,                  HD 20439
142098917,179.1815283,-32.26744227,7.178,                 HD 103743
435926536,65.68709848,16.79081389,7.182,                  HD 27685
173532792,112.3807509,-38.12237934,7.211,                  HD 59704
59087638,66.11851838,16.88606114,7.214,                  HD 27859
245826993,67.87266071,13.90340256,7.232,                  HD 28635
150143137,92.72051,-61.499663,7.239,                  HD 43199
323246150,130.4355982,-79.04801428,7.251,                  HD 75505
245792139,67.20171765,17.28534991,7.257,                  HD 28344
311151814,61.56771377,15.69803842,7.278,                  HD 25825
270259954,359.0455783,-39.05311024,7.28704,                 HD 224228
245863570,68.64756189,15.50451139,7.317,                  HD 28992
250593544,94.78361751,-3.439164684,7.323,                 HIP 30030
464781371,61.67320757,1.683516276,7.344,                  HD 25953
318841562,41.56118593,5.592405882,7.354,                  HD 17250
282402573,89.87475374,2.476200825,7.354,                  HD 40512
