tic,prot
77951245,1000
308305105,0.542215715
77339881,1.611507313
206478549,0.42546673
166787846,0.461043677
69814849,1.820316767
46530889,1000
308245136,1.614043584
152505948,0.779056857
66534227,1000
192825710,1000
23126920,0.70708035
454159913,1000
207238086,0.460629513
232083054,0.626327163
289730802,0.675859272
373308741,1000
373308741,1000
373308741,1000
373308741,1000
44678751,1.201730665
257567390,0.61839603
55651278,1000
229807051,1.0210615
373029223,1000
37817522,1000
14230586,1000
148270291,1000
117896343,1000
41862041,0.737063246
339770560,1.097554952
238331927,1000
2761472,0.959896321
170698265,0.332817415
316854083,0.683061789
59547137,0.391818022
308305734,0.457955482
393749316,1.639852399
464779449,1.053579896
31281820,1.066730677
31281820,1.066730677
454156889,1.352266964
39217420,0.333901022
21622364,1000
148934990,1000
66410455,1000
123642034,0.672755715
410213494,0.444074345
231632372,0.560285774
53171674,0.279790136
201898222,0.567729847
201898222,0.567729847
172405494,1000
234208106,1000
232075203,1000
52284854,0.25700241
144126053,1000
144126053,1000
173957127,0.526894044
173957127,0.526894044
7785194,1.364864865
111289424,1000
53726408,0.362973047
206403004,1.282909931
281765032,1000
220405105,1000
269408970,1.856565938
200790342,0.706593174
200790342,0.706593174
200790342,0.706593174
200790342,0.706593174
453095065,0.313104744
93242288,0.820178407
77350951,0.41954873
277771912,1000
219258986,1.557658605
178969584,1000
201861769,0.865152498
237910557,1000
144653213,0.20040285
260127241,0.254262501
33881250,1.140266849
177313167,0.299481097
121637793,1000
317024482,1000
317024482,1000
317024482,1000
317024482,1000
590241,0.876240552
130513139,0.172725624
7422813,1000
340485620,1000
373432787,0.866614665
232048700,1.390778218
232073492,0.597499216
224276435,0.881512827
261335869,0.550363276
207138379,0.492956184
32545814,0.6456487
265015987,1.38701623
1518580,1000
393490554,0.422139193
44743153,0.412295893
391745863,0.825459724
436656194,1000
212380843,1000
170673573,0.666633332
231315283,0.347241757
281461138,0.651390043
307921974,0.411468782
339607562,0.444459261
77954301,1000
178349868,1.383274538
165162811,0.686720923
270623499,0.366606171
7807668,1.89428815
179315999,0.614321261
260241701,1000
141423634,0.949234603
237883772,0.425643318
349055504,1.115461847
142052608,1000
281779297,0.197470154
219257563,1000
36881728,1000
170671853,0.732326284
126945045,0.409988314
9966473,1000
146420492,0.338530293
234497476,1.040749415
121049033,0.555430571
317016534,0.667066947
459936640,1000
350215424,0.523131254
220571696,1000
151928308,1000
100100909,1000
200340257,1.149211275
161497069,1000
176980970,0.61139136
238831201,0.733373673
124934505,1000
77670461,0.27827176
117817258,0.240545612
14087575,1.240994136
149542119,1000
144486786,0.284131111
144486786,0.284131111
260972843,0.284604218
220558700,0.966226989
178857861,0.489894907
144126052,1.3776997
144126052,1.3776997
450098715,1000
48955150,1000
231973593,1000
47596872,0.208130386
4291393,1000
237880881,0.351647192
259408109,1000
13912397,0.412295893
306927574,1.425577417
140269470,0.782027217
155895287,0.709035792
394355443,0.714469453
52194976,0.621017328
77111651,1.629430457
158069378,1000
14085128,0.313104744
277016043,1000
234495456,0.380620664
201226029,1000
77255662,1000
201467153,0.25999961
238876720,0.634857143
95251342,1000
144486791,0.79291067
144486791,0.79291067
21649667,0.145314237
178953608,1000
22970720,0.461874242
209463384,0.256103886
141306513,0.556938758
30959945,1000
77954300,1000
91594282,1000
160004720,1000
38820496,0.32739864
237918270,0.317564671
237918270,0.317564671
147948928,1000
46531745,0.825459724
11614280,1000
220522527,0.964409722
77434074,1000
237934055,1000
147250411,0.589598443
343934811,0.525005907
388128331,0.855053874
92881468,1000
231294802,0.204560101
114436019,1000
50232454,1000
146307240,0.391818022
259586708,0.46970124
93443364,0.142033772
32068898,0.680342927
7652962,0.395749228
7150628,1000
234338669,0.459391475
176379866,0.408355795
77022104,1000
178241984,0.872513089
307783859,1000
455032060,0.961696602
1223040,0.847983717
350712873,0.122111395
30760081,1000
188573364,1000
231907750,0.758879781
220596971,1000
166968742,0.459597352
349195685,0.240884617
436573134,0.473824502
245860602,1000
142274336,0.683517047
220425740,0.56120559
279617110,1000
420980626,0.785621685
231286568,1000
306337790,1000
278899969,1000
100105078,1000
100105078,1000
100105078,1000
100105078,1000
201789285,0.151563726
237883499,0.294747082
155263404,1000
264416231,1000
249037711,1.098730839
234334620,0.129219854
231020924,0.705620832
175493040,0.415975039
299007548,1000
207171929,1000
232025650,1000
237918271,1000
237918271,1000
238642175,0.842411222
238236508,0.515246377
31281821,1.066730677
31281821,1.066730677
144667802,0.788036411
92878902,0.19532635
341935294,1000
229142539,0.834188462
292181908,1000
123195366,1000
311403358,1000
95251362,1000
167815117,0.467986521
101017638,1000
219219101,1000
399617462,0.453700868
269408869,1000
39578209,1000
235226703,1000
175534222,1000
42992313,1000
206623351,0.249196262
52256020,0.265657069
247439284,1.194730711
167119957,0.159235593
463278438,0.476687643
,
464060149,1000
,
469171560,1000
,
43533777,0.45
102052882,1000
103107644,1000
105649804,1000
105710145,0.420064276
106084656,1000
11311177,1000
122093026,1000
140295287,1.908388205
140305443,1000
140441949,0.383754066
140510862,1000
140789790,0.9448618
140891597,0.235572676
141975926,1.155686546
144993360,0.65263364
145923579,1000
146139955,1000
148563078,1000
149351776,1000
150062527,1000
151764983,1000
158668763,1000
167123841,0.270491803
167439141,1000
167551757,1.919101771
167808464,1000
168205635,1.162235202
168404015,1000
177115978,1000
179294885,0.56120559
18143643,1000
181673000,1000
188043641,1000
188173172,0.322660277
193136669,1.569578526
20319492,0.13848551
20414865,0.355302081
20446899,1000
220433364,0.427773856
220440079,0.172319305
