tic,tmag,ra,dec,Mass,Teff
436635454,10.7336,72.1276660465635,16.3885346378316,0.59,3824.3984
660348675,11.2339,68.3494526804095,23.9907095532371,,3548.4198
435938788,10.714,65.9964040241714,16.7215745857827,0.58,3778.5135
17409372,10.8711,66.3106763449011,18.9735820256762,0.6,3799.3319
245949052,10.9588,70.3698729679233,12.0093429104578,0.55,3719.4239
399697011,10.9342,73.0994307181215,10.7194224989805,0.59,3788.9848
372917714,10.637,65.96128864459,9.20541588397826,0.61,3743.3414
245948074,11.1435,70.3659118661495,14.0760999723215,0.58,3667.5123
245858485,11.1273,68.3625311266958,13.0454813386528,0.49,3621.3582
389019328,11.324,61.6443185060877,13.5491243518205,0.5,3651.3394
242945879,11.6419,58.7217528446298,16.3156457949442,0.43,3493.4325
435880145,12.04,64.3672551094986,14.9010599286737,0.36,3482.3841
399664934,12.1248,72.467087497611,6.10934718096399,0.29,3409.9479
67769328,12.0681,55.9461660884629,20.8600966566694,0.31,3437.9084
245820477,12.2017,67.6411352581811,14.748121456248,0.34,3448.4568
389053716,12.4851,62.8651940867037,15.9921519092876,0.28,3379.6903
245870883,12.3542,68.9521431977926,13.2880484099118,0.3,3418.415
129908451,11.3502,36.4101768693581,37.5427507210266,0.28,3391.3367
269891011,11.3282,44.1719023237968,35.3762717720528,0.38,3522.7809
177990792,10.8357,48.9077258615267,37.4039537156714,0.47,3572.954
29002055,12.5281,50.6319731646586,28.9747434220325,0.28,3373.2016
26113064,13.1887,53.5439916589118,22.0725878415557,0.17,3171.0935
434164859,12.558,56.7481687030349,15.4046994943223,0.18,3192.8513
427736349,9.7852,58.1708744232015,25.8044370824594,0.65,4130.7581
427736055,14.8156,58.1779701197783,25.2072303658765,0.23,3270.8904
14079970,14.1286,58.9038535527845,21.3133966841635,0.13,2947.2456
14108034,11.7954,58.9882318660674,18.4322836643299,0.35,3480.3208
242985065,13.6872,59.5598526231127,12.6280236987775,0.17,3176.691
125757128,9.90291,59.7905718316844,26.4760933135071,0.6,3866.2588
14224878,10.9654,59.8091156433833,22.0438567127792,0.48,3633.098
242987694,12.9785,59.8125538802633,16.6644247492086,0.2,3257.7243
14226171,13.2967,59.8608748068657,23.3854462761914,0.19,3230.4291
14229343,13.3393,60.0649326971435,19.4101478241096,0.2,3249.2469
242991771,11.968,60.1873017626174,13.9063210022565,0.39,3453.5524
243030731,14.7827,61.0448332414344,15.8060973871136,0.14,3010.9437
14364519,13.6845,61.0533597496655,18.995726082127,0.19,3230.019
15816041,13.1316,61.5859662084463,19.0274728403287,0.24,3307.8372
660183783,11.5002,62.1672843993961,23.5573131299313,0.58,3589.5965
16004516,12.8585,63.1973447485199,22.390819346835,0.29,3341.7034
434226736,13.0275,63.2733894649056,15.2477816134607,0.2,3274.6609
673619543,13.0674,63.4683156775971,15.3650647638793,0.28,3273.5487
434239028,12.6087,64.1059021678055,14.1714102889208,0.22,3300.4545
435881860,10.7012,64.4487249984891,13.6617797194338,0.59,3784.1632
435882484,12.9164,64.4651073296181,15.2271596987727,0.23,3311.9551
435882186,12.4912,64.4815454839417,14.5462617719706,0.29,3418.6092
17147557,8.5335,64.5449649710985,23.2846564596744,1.07,4719.0052
17150486,13.2479,64.6410360807587,18.3647222261056,0.2,3245.9722
17228250,11.6453,64.8741033976449,21.7538835994904,0.43,3545.5475
17233315,12.7146,65.1151149639945,18.8971998761112,0.26,3367.5717
17283750,12.7172,65.122452640942,21.3787293702604,0.27,3360.736
435920675,12.9868,65.3962057359142,14.6952419769941,0.23,3313.0348
17294045,13.3529,65.4096172804562,20.3028159363386,0.17,3163.9948
17310668,12.1326,65.6785897220615,20.570135007197,0.32,3414.3969
61225027,12.7294,65.7974098564461,21.0589616276575,0.22,
17382700,14.1,65.9861675951921,18.6389139493715,0.18,3205.1281
17339381,12.522,65.9891882060907,22.1815936901291,0.25,3339.3726
17339419,9.7305,66.0309481020912,22.1188682298377,0.67,4186.2886
17382436,13.7792,66.0872722313231,19.1807831939538,0.17,3179.9568
17383582,13.5238,66.1275026504679,18.9869729348679,0.2,3226.7245
17409889,9.8308,66.3542803548033,17.9153497172603,0.66,
17410667,12.5037,66.4243078778136,19.0132123412862,0.35,3493.1653
673677920,13.2459,66.4463578089474,17.5445293628195,,3089.7388
17448232,12.9252,66.5904448399016,18.0002860519055,0.26,
