tic,name,ra,dec,tmag,ctl,sector,prob 
21194072,4111998841692217600,256.270811769018,-26.1904017357615,13.335,-1,-1,0.3136676705541428 
19300828,4112096831311179904,255.30404086646897,-26.14945318889939,11.659,-1,-1,1.2817571876500782e-99 
18719494,4112148272182839040,255.00231830606498,-26.0532135640418,13.18,-1,-1,0.2881632326825683 
20956860,4112224241513368448,256.13871920479,-25.5723459983573,9.192,-1,-1,0.2782032243660273 
20586894,4112215960860030592,256.00336128303803,-25.698098824650902,6.747,-1,-1,0.33610507131760065 
21668082,4112253687855301120,256.50495573246496,-25.341909269883402,8.879,-1,-1,0.5737560592209546 
21668026,4112253722215035776,256.512056393572,-25.339649426398505,17.522,-1,-1,0.3574299552107518 
19409236,4112311270440222464,255.414912732842,-25.118367307147498,9.262,-1,-1,0.45639562367677033 
325334724,4112614121518510208,257.89393012712793,-24.394932585750798,13.571,-1,-1,0.4643416032167717 
24175118,4112789145674329600,257.511895598266,-24.149757848554202,9.129,-1,-1,0.23558808677147353 
18358899,4112954901380464384,254.93367143110797,-25.3647113995169,12.161,-1,-1,0.6414644145422963 
18355334,4113130887633122560,254.900219448583,-24.718201995231897,13.66,-1,-1,0.22756771955058153 
16055511,4113213041770891648,253.60055875356701,-25.005811378190202,11.291,-1,-1,0.5270780742444005 
18267184,4113378522585348096,254.88788455143398,-23.9800538160474,14.324,-1,-1,0.45566776210941623 
17798381,4113341753346536576,254.58579500040506,-24.3981372898108,8.703,-1,-1,0.0 
17347011,4113352958949500288,254.42813075198603,-24.3672426114966,13.704,-1,-1,0.2536878213631444 
197993450,4113458129784028160,254.349219349437,-23.754405725658007,10.48,-1,-1,2.390671533118783e-57 
198747854,4113805751577569792,255.73124918773593,-23.332026302522696,9.356,-1,-1,0.38455805665444337 
198598906,4113989095139619328,255.43975611947005,-22.673067686652196,12.132,-1,-1,0.0 
437546413,4125625978291418240,253.083206425064,-23.2857942156723,11.648,-1,-1,0.5352176749932734 
437546477,4125629899604061952,253.00099944320806,-23.258879491273,9.87,-1,-1,0.47928435835799815 
437542433,4125741873687560064,252.86132444567104,-23.033508114734303,12.482,-1,-1,0.29723029815926466 
437494495,4125795818476594688,252.63367200833105,-22.8164459891532,11.467,-1,-1,0.9022378125800763 
197937047,4126469681670065408,252.30087365311707,-22.7116748185523,8.461,-1,-1,3.4442775721077582e-43 
74082165,4126476317399641600,251.87498188309007,-22.7831579191124,12.815,-1,-1,0.49306865213861606 
197939176,4126651513403138176,252.253893083436,-21.898041377330998,12.125,-1,-1,1.0419777393476676e-07 
287879650,4126802391314061568,250.723268043372,-21.9283846413157,13.014,-1,-1,0.3681748466268667 
287991832,4126844104037163776,251.046637469,-21.451524068869396,11.431,-1,-1,0.2565733438826111 
437583973,4127016143239002496,253.12640196411098,-21.542872625322296,11.044,-1,-1,0.24673203623989043 
287889725,4129845049223642880,250.84337182275905,-21.501602163357397,10.973,-1,-1,0.5819778248342289 
287891387,4130024991175851392,250.90706451808006,-20.696791595290698,7.366,-1,-1,4.589824254245986e-09 
73357437,4130171565516609920,249.072133152821,-20.8261527534931,11.635,-1,-1,0.018211032164996355 
73425778,4130187130480725120,249.17850477904204,-20.5091161479384,13.67,-1,-1,0.3922077392365664 
73966755,4130390299611659648,251.708703896247,-20.3929684380973,11.568,-1,-1,0.0 
73976496,4130478810297672064,251.947164688551,-19.8756609936142,8.537,-1,-1,0.6809484932354248 
73749594,4130492421058269440,251.499636507577,-19.7587178481077,9.782,-1,-1,4.8849661939395125e-180 
73217080,4130947859386102016,248.776056585074,-20.424615746504198,12.355,-1,-1,0.2570162975051136 
162131908,4131102168970198400,249.61899653748196,-19.523984371327398,9.363,-1,-1,0.24973427663899744 
